Age,Previously_Insured,Vehicle_Damage,Annual_Premium,Vintage,Response,Predicted
55,0,1,27208.0,281,1,1
24,1,0,50902.0,104,0,0
40,0,1,45402.0,57,1,1
40,0,1,36288.0,157,1,1
35,0,1,57838.0,46,1,1
50,1,0,32190.0,89,0,0
63,0,1,37359.0,296,1,1
22,0,1,2630.0,298,1,1
23,1,0,28769.0,157,0,0
57,1,0,49792.0,262,0,0
57,0,1,2630.0,281,1,1
29,0,1,28151.0,294,1,1
26,1,0,2630.0,31,0,0
41,0,1,36447.0,128,1,1
38,0,1,28676.0,211,1,1
68,0,1,35327.0,271,1,1
23,1,0,39105.0,146,0,0
35,0,1,49950.0,26,1,1
39,0,1,44719.0,61,0,0
39,0,1,56077.0,83,1,1
72,0,1,30135.0,32,1,1
38,0,1,41941.0,48,1,1
21,0,1,43284.0,241,0,0
62,0,1,56230.0,276,1,1
41,0,1,36941.0,33,1,1
41,0,1,42287.0,282,1,1
52,0,1,59719.0,292,1,1
61,0,1,50394.0,137,1,1
33,1,0,33572.0,158,1,1
46,0,1,35038.0,165,1,1
43,0,1,22973.0,205,1,1
31,0,1,2630.0,141,1,1
23,0,1,30944.0,104,1,1
39,0,1,35919.0,143,0,0
23,1,0,29878.0,181,0,0
53,0,1,34697.0,283,1,1
33,0,1,57387.0,252,1,1
54,0,1,53813.0,152,1,1
55,1,0,36040.0,19,0,0
30,0,1,2630.0,280,1,1
53,1,0,59554.0,186,0,0
27,0,1,27233.0,209,1,1
66,1,0,38590.0,76,0,0
22,0,1,2630.0,270,1,1
30,1,0,2630.0,241,0,0
64,0,1,39729.0,97,0,0
23,0,1,35004.0,168,1,1
66,0,1,2630.0,262,0,0
23,1,0,32484.0,244,0,0
24,0,1,2630.0,53,1,1
31,1,0,35325.0,273,0,0
30,0,1,2630.0,292,0,0
29,1,0,2630.0,284,0,0
27,0,1,16440.0,65,1,1
69,0,1,39437.0,102,0,0
24,1,0,33957.0,179,0,0
36,0,1,35293.0,229,1,1
30,0,1,2630.0,147,1,1
29,1,0,29550.0,129,0,0
30,0,1,2630.0,44,1,1
62,0,1,2630.0,254,0,0
41,0,1,29371.0,240,0,0
47,0,1,39867.0,200,1,1
37,0,1,32211.0,14,1,1
45,0,1,2630.0,95,1,1
45,0,1,36308.0,174,1,1
32,0,1,2630.0,289,0,1
44,0,1,30888.0,286,1,1
35,0,1,27545.0,284,0,1
